id,sala,x,y,status,ip,patrimonio,usuario,sistema,ram,processador,observacoes
PC-01,A definir,120,977,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-02,A definir,177,977,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-03,A definir,287,957,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-04,A definir,120,1068,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-05,A definir,200,1071,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-06,A definir,303,1068,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-07,A definir,120,1155,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-08,A definir,207,1162,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-09,A definir,289,1153,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-10,A definir,357,1155,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-11,A definir,415,1155,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-12,A definir,597,1265,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-13,A definir,663,1267,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-14,A definir,752,1249,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-15,A definir,752,1153,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-16,A definir,693,1078,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-17,A definir,583,1064,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-18,A definir,572,1112,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-19,A definir,713,968,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-20,A definir,713,902,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-21,A definir,736,827,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-22,A definir,595,840,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-23,A definir,526,813,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-24,A definir,558,729,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-25,A definir,586,658,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-26,A definir,629,553,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-27,A definir,524,437,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-28,A definir,542,393,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-29,A definir,576,304,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-30,A definir,937,298,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-31,A definir,921,327,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
PC-32,A definir,896,352,Ativo,A coletar,A coletar,A coletar,A coletar,A coletar,A coletar,
